STATE,NO_CONTESTING_CANDIDATES,EDUCATION_INDEX,STANDARD_EDUCATION_LEVEL
DAMAN AND DIU,4,1,10th Pass
GUJARAT,371,1,10th Pass
ANDAMAN AND NICOBAR ISLANDS,15,2,12th Pass
ANDHRA PRADESH,315,2,12th Pass
BIHAR,487,2,12th Pass
CHHATTISGARH,165,2,12th Pass
DADRA AND NAGAR HAVELI,11,2,12th Pass
HARYANA,223,2,12th Pass
JAMMU AND KASHMIR,79,2,12th Pass
JHARKHAND,186,2,12th Pass
KARNATAKA,469,2,12th Pass
KERALA,218,2,12th Pass
LAKSHADWEEP,6,2,12th Pass
MADHYA PRADESH,351,2,12th Pass
MAHARASHTRA,836,2,12th Pass
MIZORAM,6,2,12th Pass
NATIONAL CAPITAL TERRITORY OF DELHI,159,2,12th Pass
PUDUCHERRY,17,2,12th Pass
RAJASTHAN,249,2,12th Pass
SIKKIM,11,2,12th Pass
TAMIL NADU,803,2,12th Pass
TELANGANA,439,2,12th Pass
UTTAR PRADESH,794,2,12th Pass
WEST BENGAL,355,2,12th Pass
ARUNACHAL PRADESH,12,3,Graduate
ASSAM,144,3,Graduate
GOA,12,3,Graduate
MANIPUR,19,3,Graduate
MEGHALAYA,9,3,Graduate
ODISHA,173,3,Graduate
TRIPURA,23,3,Graduate
UTTARAKHAND,51,3,Graduate
NAGALAND,4,4,Post Graduate
